PAP ID,PAP Refs ,X Coord,Y Coord
16076,BUN0497,172120.214,79846.138
16075,BUN0498,172098.356,79906.954
16074,BUN0499,172078.594,79961.934
16072,BUN0500,172068.657,79988.345
16070,BUN0501,172060.370,80011.487
16069,BUN0502,172054.033,80030.731
16067,BUN0503,172046.690,80049.802
16066,BUN0504,172035.869,80070.696
16061,BUN0505,172040.296,80074.137
16060,BUN0506,172023.322,80114.621
16053,BUN0507,172014.224,80140.319
16052,BUN0508,172008.945,80154.432
16050,BUN0509,172007.456,80160.634
16048,BUN0510,172004.230,80168.571
16046,BUN0511,171999.515,80182.214
16044,BUN0512,171995.217,80193.631
16040,BUN0513,171994.381,80210.995
16037,BUN0514,171991.356,80264.203
16187,BUN0515,171990.699,80305.205
16019,BUN0516,171989.326,80336.969
16013,BUN0517,171988.047,80362.408
15925,BUN0518,171985.502,80421.810
16009,BUN0519,171983.812,80455.024
16002,BUN0520,171982.977,80478.817
16004,BUN0521,171981.306,80518.891
15998,BUN0522,171979.532,80590.392
15997,BUN0523,171978.975,80637.555
15994,BUN0524,171980.654,80660.202
15993,BUN0525,171981.185,80688.119
15992,BUN0526,171982.765,80714.083
15989,BUN0527,171981.154,80736.352
15980,BUN0528,171984.644,80748.962
15975,BUN0529,171980.392,80780.851
15948,BUN0530,171984.726,80780.039
15952,BUN0531,171980.121,80799.532
15971,BUN0532,171970.641,80829.584
15920,BUN0533,171961.367,80862.852
15915,BUN0534,171956.607,80882.443
16170,BUN0535,171949.326,80910.990
16183,BUN0536,171998.331,80991.694
16167,BUN0537,172058.948,81055.872
15881,BUN0538,172079.392,81110.123
15877,BUN0539,172081.665,81150.550
15832,BUN0540,172084.250,81162.654
15825,BUN0541,172084.250,81189.810
15824,BUN0542,172088.058,81235.752
15823,BUN0543,172089.529,81278.384
15821,BUN0544,172094.518,81337.573
15820,BUN0545,172098.248,81409.516
15819,BUN0546,172100.817,81450.103
15818,BUN0547,172105.032,81488.960
15817,BUN0548,172107.843,81553.098
15816,BUN0549,172113.409,81617.650
15815,BUN0550,172115.167,81656.146
15814,BUN0551,172100.798,81685.988
15822,BUN0552,172094.454,81701.655
15813,BUN0553,172072.415,81749.863
15811,BUN0554,172041.176,81818.427
15810,BUN0555,172013.604,81880.681
15809,BUN0556,172005.894,81895.477
15808,BUN0557,171999.109,81912.739
15807,BUN0558,171983.412,81944.358
15806,BUN0559,171969.980,81974.565
15805,BUN0560,171964.901,82020.913
15673,BUN0561,171942.000,82219.989
15676,BUN0562,171715.096,82547.121
15681,BUN0563,171701.858,82566.664
15687,BUN0564,171679.861,82598.420
15695,BUN0565,171660.138,82631.610
15699,BUN0566,171638.142,82670.869
15709,BUN0567,171605.671,82732.114
15719,BUN0568,171587.625,82766.692
15721,BUN0569,171549.961,82835.136
15724,BUN0570,171556.223,82908.212
15729,BUN0571,171561.506,82975.553
15740,BUN0572,171564.355,83004.555
15731,BUN0573,171564.782,83010.964
15735,BUN0574,171565.424,83015.451
15736,BUN0575,171567.134,83031.687
15744,BUN0576,171572.179,83092.784
15751,BUN0577,171614.464,83190.545
15753,BUN0578,171629.035,83216.551
15756,BUN0579,171652.213,83249.321
15759,BUN0580,171674.899,83283.508
15766,BUN0581,171714.966,83342.252
15771,BUN0582,171767.987,83420.554
15796,BUN0583,171709.329,83545.291
15798,BUN0584,171589.454,83634.273
15799,BUN0585,171575.320,83695.458
15802,BUN0586,171563.613,83747.498
15803,BUN0587,171554.372,83785.549
15804,BUN0588,171573.962,83841.332
15621,BUN0589,171593.370,83896.825
15624,BUN0590,171617.336,83956.720
15625,BUN0591,171666.784,84010.669
15627,BUN0592,171705.861,84059.014
15630,BUN0593,171716.603,84086.547
15633,BUN0594,171718.722,84106.963
15635,BUN0595,171720.110,84122.386
15641,BUN0596,171717.162,84133.725
15640,BUN0597,171722.516,84133.968
15647,BUN0598,171722.273,84146.130
15519,BUN0599,171728.699,84209.077
15543,BUN0600,171731.903,84245.750
15550,BUN0601,171728.924,84263.473
15557,BUN0602,171733.021,84260.450
15567,BUN0603,171734.644,84277.625
15570,BUN0604,171747.963,84296.832
15578,BUN0605,171775.343,84307.449
15588,BUN0606,171801.449,84317.456
15591,BUN0607,171819.138,84324.434
15615,BUN0608,171831.472,84328.799
15458,BUN0609,171850.971,84336.208
15389,BUN0610,171878.218,84347.068
15426,BUN0611,171906.591,84357.816
15399,BUN0612,171972.425,84383.505
15432,BUN0613,172063.571,84418.696
15441,BUN0614,172104.289,84434.867
15444,BUN0615,172134.221,84445.918
15451,BUN0616,172159.033,84455.799
15505,BUN0617,172175.632,84462.055
