IK0516,22.5200,0.0056
IK0517,20.4500,0.0051
IK0518,19.4800,0.0048
IK0519,20.1400,0.0050
IK0520,23.6000,0.0058
IK0521,22.5300,0.0056
IK0522,46.1400,0.0114
IK0523,89.1100,0.0220
IK0524,26.3500,0.0065
IK0525,18.5000,0.0046
IK0526,13.8300,0.0034
IK0527,14.1300,0.0035
IK0528,15.0500,0.0037
IK0529,18.4400,0.0046
IK0530,14.9100,0.0037
IK0531,15.0300,0.0037
IK0532,24.3100,0.0060
IK0533,29.9700,0.0074
IK0534,21.4000,0.0053
IK0535,24.9800,0.0062
IK0536,23.8500,0.0059
IK0537,24.7100,0.0061
IK0538,26.3200,0.0065
IK0539,22.4700,0.0056
IK0540,22.7200,0.0056
IK0541,641.5400,0.1585
IK0542,21.9400,0.0054
IK0543,8.0200,0.0020
IK0544,19.3100,0.0048
IK0545,24.1600,0.0060
IK0546,52.4200,0.0130
IK0547,52.9100,0.0131
IK0548,19.6200,0.0048
IK0549,15.2100,0.0038
IK0550,9.5800,0.0024
IK0551,11.1700,0.0028
IK0552,13.7900,0.0034
IK0553,26.6100,0.0066
IK0554,29.0800,0.0072
IK0555,12.6900,0.0031
IK0556,20.2400,0.0050
IK0557,20.3700,0.0050
IK0558,21.4700,0.0053
IK0559,18.8200,0.0047
IK0560,18.2700,0.0045
IK0561,24.4700,0.0060
IK0562,18.6900,0.0046
IK0563,17.8400,0.0044
IK0564,11.0800,0.0027
IK0565,13.1300,0.0032
IK0566,13.0400,0.0032
IK0567,,0.0000
IK0568,28.9300,0.0071
IK0569,23.1200,0.0057
IK0570,105.8800,0.0262
IK0571,20.5300,0.0051
IK0572,15.4100,0.0038
IK0573,14.1200,0.0035
IK0574,17.0900,0.0042
IK0575,14.3400,0.0035
IK0576,19.5200,0.0048
IK0577,8.8200,0.0022
IK0578,25.8200,0.0064
IK0579,12.3900,0.0031
IK0580,20.7900,0.0051
IK0581,7.6700,0.0019
IK0582,11.9700,0.0030
IK0583,88.6100,0.0219
IK0584,21.8300,0.0054
IK0585,28.4800,0.0070
IK0586,18.9100,0.0047
IK0587,16.4800,0.0041
IK0588,14.6200,0.0036
IK0589,20.8000,0.0051
IK0590,15.9100,0.0039
IK0591,18.3400,0.0045
IK0592,19.3500,0.0048
IK0593,19.7500,0.0049
IK0594,19.7000,0.0049
IK0595,16.2200,0.0040
IK0596,458.9700,0.1134
IK0597,83.0400,0.0205
IK0598,32.7200,0.0081
IK0599,105.4400,0.0261
IK0600,44.5100,0.0110
IK0601,18.4300,0.0046
IK0602,23.9600,0.0059
IK0603,18.4900,0.0046
IK0604,13.7100,0.0034
IK0605,9.3300,0.0023
IK0606,26.2200,0.0065
IK0607,50.1100,0.0124
IK0608,19.9500,0.0049
IK0609,11.0600,0.0027
IK0610,10.9500,0.0027
IK0611,19.4900,0.0048
IK0612,31.1500,0.0077
IK0613,28.1700,0.0070
IK0614,42.5000,0.0105
IK0615,32.2100,0.0080
IK0616,34.4100,0.0085
IK0617,25.6400,0.0063
IK0618,27.2000,0.0067
IK0619,19.4500,0.0048
IK0620,29.6300,0.0073
IK0621,35.5400,0.0088
IK0622,23.5900,0.0058
IK0623,8.7500,0.0022
IK0624,15.9500,0.0039
IK0625,13.7800,0.0034
IK0626,23.4000,0.0058
IK0627,36.7800,0.0091
IK0628,24.3700,0.0060
IK0629,19.6600,0.0049
IK0630,60.4600,0.0149
IK0631,15.2000,0.0038
IK0632,9.6400,0.0024
IK0633,11.1800,0.0028
IK0634,15.4600,0.0038
IK0635,7.6500,0.0019
IK0636,14.5700,0.0036
IK0637,14.7600,0.0036
IK0638,19.7200,0.0049
IK0639,25.4900,0.0063
IK0640,27.5500,0.0068
IK0641,14.1000,0.0035
IK0642,15.5300,0.0038
IK0643,12.8800,0.0032
IK0644,17.9400,0.0044
IK0645,18.2500,0.0045
IK0646,35.4100,0.0088
IK0647,20.1200,0.0050
IK0648,23.5400,0.0058
IK0649,8.5500,0.0021
IK0650,,0.0000
IK0651,17.9300,0.0044
IK0652,15.9900,0.0040
IK0653,29.6500,0.0073
IK0654,21.1400,0.0052
IK0655,19.1600,0.0047
IK0656,8.5700,0.0021
IK0657,7.8100,0.0019
IK0658,6.2200,0.0015
IK0659,19.5300,0.0048
IK0660,13.1700,0.0033
IK0661,22.6600,0.0056
IK0662,10.9200,0.0027
IK0663,7.3700,0.0018
IK0664,8.2600,0.0020
IK0665,8.4100,0.0021
IK0666,14.1700,0.0035
IK0667,32.0200,0.0079
IK0668,47.8200,0.0118
IK0669,39.3900,0.0097
IK0670,64.2800,0.0159
IK0671,19.4600,0.0048
IK0672,22.0100,0.0054
IK0673,25.7200,0.0064
IK0674,17.1800,0.0042
IK0675,23.8500,0.0059
IK0676,24.5600,0.0061
IK0677,24.1200,0.0060
IK0678,64.4700,0.0159
IK0679,11.8200,0.0029
IK0680,19.4000,0.0048
IK0681,9.1700,0.0023
IK0682,13.7800,0.0034
IK0683,15.2200,0.0038
IK0684,23.6900,0.0059
IK0685,12.4500,0.0031
IK0686,21.0800,0.0052
IK0687,22.9000,0.0057
IK0688,30.5800,0.0076
IK0689,23.4800,0.0058
IK0690,10.2800,0.0025
IK0691,18.5500,0.0046
IK0692,68.0800,0.0168
IK0693,18.6800,0.0046
IK0694,20.6900,0.0051
IK0695,16.3200,0.0040
IK0696,13.7100,0.0034
IK0697,21.0500,0.0052
IK0698,43.3500,0.0107
IK0699,17.2500,0.0043
IK0700,6.2200,0.0015
IK0701,11.5800,0.0029
IK0702,22.7400,0.0056
