pap_ref,total_take,rate_per_acre,land_interest,tenure
NGE0402,0.3375,1500000,100,Customary
NGE0403,0.1216,1500000,90,Customary
NGE0404,0.1216,1500000,10,TENANT
NGE0405,0.5535,1500000,100,Customary
NGE0406,0.2325,1500000,100,Customary
NGE0407,2.4323,1500000,100,Customary
NGE0408,0.3318,1500000,100,Customary
NGE0409,0.6512,1500000,100,Customary
NGE0410,0.3169,3000000,100,Customary
NGE0411,0.1247,3000000,100,Customary
NGE0412,0.4801,3000000,100,Customary
NGE0413,1.6498,3000000,100,Customary
NGE0414,0.1663,3000000,100,Customary
NGE0415,0.3055,3000000,100,Customary
NGE0416,0.5045,3000000,100,Customary
NGE0417,0.8732,3000000,100,Customary
NGE0418,1.1781,3000000,100,Customary
NGE0419,0.2665,3000000,100,Customary
NGE0420,0.2666,3000000,100,Customary
NGE0421,0.1163,3000000,100,Customary
NGE0422,1.3071,3000000,100,Customary
NGE0423,1.0891,3000000,100,Customary
NGE0424,0.162,3000000,100,Customary
NGE0425,1.5736,3000000,100,Customary
NGE0426,1.5913,3000000,100,Customary
NGE0427,0.2721,3000000,100,Customary
NGE0428,1.6543,3000000,100,Customary
NGE0429,0.4062,3000000,100,Customary
NGE0430,1.1395,3000000,100,Customary
NGE0431,0.2566,3000000,100,Customary
NGE0432,1.3363,3000000,100,Customary
NGE0433,0.3346,3000000,100,Customary
NGE0434,0.5328,3000000,100,Customary
NGE0435,0.2486,3000000,100,Customary
NGE0436,0.3745,3000000,100,Customary
NGE0437,0.3249,3000000,100,Customary
NGE0438,0.1568,3000000,100,Customary
NGE0439,0.6312,3000000,100,Customary
NGE0440,0.2278,3000000,100,Customary
NGE0441,0.326,3000000,100,Customary
NGE0442,0.7801,3000000,100,Customary
NGE0443,0.2583,3000000,100,Customary
NGE0444,0.4065,3000000,100,Customary
NGE0445,0.7148,3000000,100,Customary
NGE0446,0.6618,3000000,100,Customary
NGE0447,0.3444,3000000,100,Customary
NGE0448,0.2926,3000000,100,Customary
NGE0449,0.1076,3000000,100,Customary
NGE0450,0.2179,3000000,100,Customary
NGE0451,1.0207,3000000,100,Customary
NGE0452,0.1023,3000000,100,Customary
NGE0453,0.3411,3000000,100,Customary
NGE0454,0.892,3000000,100,Customary
NGE0455,0.1362,3000000,100,Customary
NGE0456,0.0888,3000000,100,Customary
NGE0457,0.1304,3000000,100,Customary
NGE0458,0.3961,3000000,100,Customary
NGE0459,0.1332,3000000,100,Customary
NGE0460,0.1116,3000000,100,Customary
NGE0461,0.3668,3000000,100,Customary
NGE0462,2.0045,3000000,100,Customary
NGE0463,0.112,3000000,100,Customary
NGE0464,1.9439,3000000,100,Customary
NGE0465,0.2882,3000000,100,Customary
NGE0466,0.1195,3000000,100,Customary
NGE0467,0.116,3000000,100,Customary
NGE0468,0.2416,3000000,100,Customary
NGE0469,0.5989,3000000,100,Customary
NGE0470,0.1478,3000000,100,Customary
NGE0471,0.2416,3000000,100,Customary
NGE0472,0.5722,3000000,100,Customary
NGE0473,0.5668,3000000,100,Customary
NGE0474,1.8284,3000000,100,Customary
NGE0475,0.5458,3000000,100,Customary
NGE0476,0.657,3000000,100,Customary
NGE0477,0.9801,3000000,100,Customary
NGE0478,1.1109,3000000,100,Customary
NGE0479,0.5287,1500000,100,Customary
NGE0480,1.3596,1500000,100,Customary
NGE0481,1.1322,1500000,100,Customary
NGE0482,0.9551,1500000,100,Customary
NGE0483,0.4757,1500000,100,Customary
NGE0484,0.5763,1500000,100,Customary
NGE0485,0.5015,1500000,100,Customary
NGE0486,0.3211,1500000,100,Customary
NGE0487,0.7777,1500000,100,Customary
NGE0488,0.3464,1500000,100,Customary
NGE0489,0.5599,1500000,100,Customary
NGE0490,0.1307,1500000,100,Customary
NGE0491,0.012,1500000,100,Customary
NGE0492,0.5999,1500000,100,Customary
NGE0493,2.222,1500000,100,Customary
NGE0494,1.1956,1500000,100,Customary
NGE0495,0.9507,1500000,100,Customary
NGE0496,2.1017,1500000,100,Customary
NGE0497,0.1233,3000000,100,Customary
